,title,pages-count,date-published,bestsellers-rank,rating,rating-count,author,back-type,price-ILS,width,height,thickness,weight,Contemporary Fiction,Children's Fiction,Children's General Story Books,Adventure Books for Kids,Fantasy Books,Fantasy,Classic Books & Novels,Fantasy Books for Kids,Animal Stories,Sci Fi Books for Kids,Personal Development,Funny Books for Kids,Popular Psychology,Family,"Mind, Body, Spirit: Thought & Practice",Science Fiction,Activity Books,Picture Books,"Assertiveness, Motivation & Self-esteem",Classic Books for Children,Crime,Crime Fiction,Historical Fiction,Graphic Novels: Manga,Romance Books,Romance,Storybooks,Advice On Careers & Achieving Success,Memoirs,Thriller Books,Thrillers,Early Learning,Romance Books for Teenagers,Adventure Books,Biography: General,Funny Books & Stories,Psychology,Family & Relationships,Adult & Contemporary Romance,"Mind, Body & Spirit",Characters,Advice On Parenting,Health Books,Business & Management,"Graphic Novels, Anime & Manga",General Cookery,Baby Books,Popular Medicine & Health,Management: Leadership & Motivation,Family Issues,Traditional,"Mind, Body, Spirit: Meditation & Visualisation"
52,The Subtle Art of Not Giving a F*Ck,224.0,2017-09-13,107,3.92,717420.0,Mark Manson,Paperback,69.22,139.0,203.0,19.0,204.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,Brain Games For Clever Kids (R),192.0,2014-10-01,337,4.26,144.0,Gareth Moore,Paperback,32.26,129.0,198.0,12.0,150.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,Call Me By Your Name,256.0,2017-12-21,252,4.15,313635.0,Andre Aciman,Paperback,41.3,129.0,198.0,18.0,234.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Dune,592.0,2015-07-23,100,4.24,986392.0,Frank Herbert,Paperback,61.79,128.0,196.0,42.0,400.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,I Know Why the Caged Bird Sings,289.0,2009-04-21,637,4.25,461326.0,Maya Angelou,Paperback,40.81,110.0,176.0,21.0,150.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,Everything I Never Told You,320.0,2014-11-13,276,3.86,419553.0,Celeste Ng,Paperback,39.43,131.0,196.0,28.0,250.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,They Both Die at the End : TikTok made me buy it! The international No.1 bestseller,384.0,2017-09-07,67,4.0,309815.0,Adam Silvera,Paperback,44.03,130.0,198.0,23.0,274.0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,5 Ingredients - Quick & Easy Food : Jamie's most straightforward book,320.0,2017-09-07,1697,4.13,4257.0,Jamie Oliver,Hardback,118.05,192.0,252.0,38.0,700.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
63,Rich Dad Poor Dad : What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,336.0,2018-10-31,58,4.1,465934.0,Robert T. Kiyosaki,Paperback,43.03,107.0,190.0,28.0,204.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
64,A Little Life,736.0,2017-03-10,191,4.31,306798.0,Hanya Yanagihara,Paperback,63.97,130.0,197.0,45.0,517.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,The Gifts Of Imperfection,160.0,2010-10-04,442,4.21,144787.0,Brene Brown,Paperback,62.89,154.0,228.0,12.0,199.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,The Whole-Brain Child : 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,192.0,2018-11-29,322,4.24,26539.0,Daniel J. Siegel,Paperback,61.7,131.0,202.0,12.0,159.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
68,The Perks of Being a Wallflower : the most moving coming-of-age classic,240.0,2009-02-10,250,4.21,1429254.0,Stephen Chbosky,Paperback,44.96,130.0,198.0,20.0,185.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,The Scum Villain's Self-Saving System : Ren Zha Fanpai Zijiu Xitong: Vol 1,400.0,2021-12-14,9,4.66,378.0,Mo Xiang Tong Xiu,Paperback,79.42,149.0,210.0,22.0,369.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,Becoming : The Sunday Times Number One Bestseller,448.0,2018-11-14,59491,4.5,776587.0,Michelle Obama,Hardback,108.59,162.0,240.0,40.0,723.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
75,The Life-Changing Magic of Tidying Up : The Japanese Art of Decluttering and Organizing,224.0,2014-10-14,81,3.86,316949.0,Marie Kondo,Hardback,65.66,132.0,185.0,23.0,266.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,"Girl, Woman, Other : WINNER OF THE BOOKER PRIZE 2019",464.0,2020-03-05,201,4.36,155760.0,Bernardine Evaristo,Paperback,52.32,129.0,198.0,28.0,321.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,Homo Deus : A Brief History of Tomorrow,528.0,2017-04-06,858,4.21,195572.0,Yuval Noah Harari,Paperback,62.76,129.0,198.0,37.0,452.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,To Kill A Mockingbird : 60th Anniversary Edition,320.0,2010-12-29,360,4.27,5063617.0,Harper Lee,Paperback,40.97,110.0,165.0,19.0,165.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80,Me Before You : The international bestselling phenomenon,528.0,2019-03-04,1171,4.25,1322530.0,Jojo Moyes,Paperback,54.88,129.0,198.0,31.0,362.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
81,Mindset - Updated Edition : Changing The Way You think To Fulfil Your Potential,320.0,2017-04-11,133,4.05,116106.0,Dr Carol Dweck,Paperback,49.34,126.0,198.0,25.0,252.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,Six of Crows: Collector's Edition : Book 1,512.0,2018-10-11,146,4.47,577628.0,Leigh Bardugo,Hardback,75.07,160.0,236.0,42.0,760.0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,Gangsta Granny,306.0,2013-02-28,515,4.27,18785.0,David Walliams,Paperback,42.26,130.0,197.0,22.0,250.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88,Fifty Shades of Grey,528.0,2012-06-29,105059,3.66,2180403.0,E. L. James,Paperback,55.06,129.0,198.0,34.0,372.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,Ugly Love,352.0,2016-01-21,8,4.26,341814.0,Colleen Hoover,Paperback,46.27,130.0,198.0,22.0,255.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
93,We Were Liars,240.0,2014-05-13,263,3.79,719526.0,E. Lockhart,Paperback,40.31,129.0,198.0,15.0,191.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,The Untethered Soul : The Journey Beyond Yourself,200.0,2007-11-07,239,4.17,70684.0,Michael A. Singer,Paperback,71.78,150.0,226.0,14.0,279.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
95,Why We Sleep : The New Science of Sleep and Dreams,368.0,2018-10-31,386,4.35,124329.0,Matthew Walker,Paperback,57.55,129.0,198.0,21.0,269.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
96,12 Rules for Life : An Antidote to Chaos,448.0,2019-05-07,69,3.93,147900.0,Jordan B. Peterson,Paperback,58.01,129.0,198.0,25.0,326.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
